timestamp,pos_x,pos_y,pos_z,yaw,yaw_rate,yaw_cmd,flag
1612940524040032256,39.78543091,62.91875839,-4.99456596,-0.07268454,0.09856354,0.04699707,0
1612940524139034368,39.97743988,62.88863373,-4.99461317,-0.06350332,0.08546259,0.0,0
1612940524241036544,40.17540741,62.85864258,-4.99466181,-0.05576259,0.06437696,0.0,0
1612940524343038720,40.3735199,62.82978058,-4.99471045,-0.05038252,0.04260569,0.0,0
1612940524445040896,40.57177353,62.80210495,-4.99475908,-0.04682173,0.02819682,0.0,0
1612940524544043008,40.76433182,62.77641296,-4.99479103,-0.04452123,0.01888886,0.05578613,0
1612940524646045184,40.96285629,62.75114059,-4.99481869,-0.04280913,0.0189594,0.14483643,0
1612940524748047360,41.16151047,62.72705841,-4.9948349,-0.04026168,0.03620985,0.16537476,0
1612940524847049472,41.35443497,62.70476532,-4.9948349,-0.03528923,0.06384695,0.17224121,0
1612940524949051648,41.55331421,62.68287659,-4.99482775,-0.02754514,0.08691906,0.15756226,0
1612940525048053760,41.74643707,62.66264343,-4.99481201,-0.01811103,0.10179732,0.0274353,0
1612940525150055936,41.94552612,62.6428299,-4.9947958,-0.00763318,0.09415666,0.0,0
1612940525252058112,42.14472198,62.6240921,-4.99479342,0.00058494,0.06687632,0.0,0
1612940525351060224,42.33813095,62.60700226,-4.99479342,0.00604038,0.04480023,0.0,0
1612940525453062400,42.5374794,62.59057236,-4.99480152,0.00978469,0.0296492,0.0,0
1612940525555064576,42.73694229,62.57535553,-4.9948144,0.012263,0.0196221,0.0,0
1612940525654066688,42.93057251,62.56175613,-4.9948144,0.01386422,0.01314471,0.0,0
1612940525756068864,43.13018036,62.54892349,-4.9948144,0.01496335,0.00869931,0.0,0
1612940525858071040,43.32980728,62.53724289,-4.99480391,0.01569094,0.00575732,0.0,0
1612940525960073216,43.52954483,62.52664948,-4.99478769,0.01617263,0.00381027,0.0,0
1612940526059075328,43.72340775,62.51734543,-4.99476814,0.01648393,0.00255251,0.04309082,0
1612940526161077504,43.92323303,62.50871277,-4.99473572,0.01680045,0.00667807,0.16732788,0
1612940526260079616,44.11722183,62.50119781,-4.99470425,0.01819012,0.02901309,0.215271,0
1612940526362081792,44.31708908,62.49428177,-4.99467182,0.02312075,0.06840712,0.22409058,0
1612940526464083968,44.51703262,62.48815155,-4.9946394,0.03196694,0.1032533,0.24462891,0
1612940526566086144,44.71702957,62.48277283,-4.99461794,0.04387568,0.12989551,0.26812744,0
1612940526665088256,44.91114426,62.47829437,-4.9946022,0.05785426,0.15238272,0.26812744,0
1612940526869092608,45.31113815,62.47166061,-4.99460936,0.09263342,0.18520395,0.2906189,0
1612940526968094720,45.50525284,62.46993637,-4.99463654,0.11150787,0.19659793,0.29745483,0
1612940527070096896,45.70524979,62.46939087,-4.99468184,0.13215318,0.2079245,0.30041504,0
1612940527172099072,45.90524673,62.47024918,-4.9947443,0.15383875,0.21690854,0.30041504,0
1612940527271101184,46.0993309,62.47261429,-4.99482584,0.17564264,0.22319269,0.24072266,0
1612940527373103360,46.29919815,62.4767952,-4.99493027,0.19851845,0.22108273,0.16732788,0
1612940527475105536,46.49892807,62.4829483,-4.99505568,0.22034855,0.20296437,0.0920105,0
1612940527574107648,46.69261932,62.49097824,-4.995193,0.23901336,0.17062755,0.05285645,0
1612940527676109824,46.89196777,62.50156021,-4.99535131,0.25452329,0.13314936,0.04309082,0
1612940527778112000,47.09104919,62.51461029,-4.99550819,0.26639965,0.10118902,0.02349854,0
1612940527877114112,47.28398132,62.52973175,-4.99564362,0.27520582,0.07684969,0.01763916,0
1612940527979116288,47.48241806,62.54787827,-4.9957552,0.28196219,0.05651955,0.0166626,0
1612940528078118400,47.67466736,62.56797028,-4.99582386,0.28681756,0.04235489,0.01568604,0
1612940528180120576,47.87237167,62.59116364,-4.99585009,0.29060147,0.03235179,0.01080322,0
1612940528282122752,48.06969833,62.61680603,-4.99583244,0.29353034,0.02513323,0.0,0
1612940528384124928,48.26665115,62.64479446,-4.99577379,0.29577011,0.01834077,0.01763916,0
1612940528483127040,48.45746994,62.67409515,-4.99568653,0.29729184,0.01374168,0.08514404,0
1612940528585129216,48.65371704,62.70635223,-4.99557257,0.29881707,0.02048419,0.10275269,0
1612940528687131392,48.84963226,62.74059677,-4.99544287,0.30180701,0.03821027,0.1242981,0
1612940528789133568,49.04522705,62.77669907,-4.9953022,0.30653462,0.05489884,0.14483643,0
1612940528888135680,49.23478317,62.81341553,-4.99516392,0.31274653,0.07087061,0.16244507,0
1612940528990137856,49.4297905,62.85288239,-4.99503422,0.32080379,0.08726783,0.17126465,0
1612940529092140032,49.62450409,62.89395142,-4.99491739,0.33046505,0.10177835,0.2074585,0
1612940529191142144,49.81320572,62.93531036,-4.99482059,0.34118718,0.11647788,0.22702026,0
1612940529293144320,50.00731659,62.97946548,-4.99474478,0.35395395,0.1339691,0.22799683,0
1612940529395146496,50.20109177,63.02519989,-4.99468946,0.36843776,0.14902529,0.22994995,0
1612940529494148608,50.38882065,63.0711174,-4.9946537,0.38371882,0.15913652,0.22799683,0
1612940529596150784,50.58185196,63.1200676,-4.99464369,0.40034309,0.1662019,0.22799683,0
1612940529695152896,50.76877594,63.16923904,-4.99465513,0.41702153,0.17044915,0.22506714,0
1612940529797155072,50.96087646,63.22171021,-4.9946866,0.4345622,0.17309746,0.18493652,0
1612940529899157248,51.15243149,63.27609634,-4.9947381,0.45220361,0.17002048,0.10177612,0
1612940530001159424,51.34337234,63.33249664,-4.99480534,0.46894459,0.15338309,0.06265259,0
1612940530100161536,51.52804947,63.38924408,-4.99488401,0.4828038,0.12591064,0.0274353,0
1612940530202163712,51.71760559,63.44987869,-4.99496508,0.49419282,0.09706616,0.04602051,0
1612940530304165888,51.90637589,63.5127182,-4.99504614,0.50273194,0.0732178,0.12625122,0
1612940530406168064,52.0943222,63.57780838,-4.99512148,0.5097121,0.06996824,0.16439819,0
1612940530505170176,52.27593613,63.64311218,-4.99517584,0.51721777,0.08339257,0.18692017,0
1612940530607172352,52.46220779,63.71256638,-4.99520159,0.52662381,0.10146368,0.19082642,0
1612940530709174528,52.64763641,63.78418732,-4.99520063,0.53781951,0.11721858,0.20550537,0
1612940530811176704,52.83222198,63.85789871,-4.99518108,0.55040557,0.1297206,0.2074585,0
1612940530910178816,53.01056671,63.9314003,-4.99514961,0.56380604,0.14038938,0.25344849,0
1612940531012180992,53.19345474,64.00914764,-4.99511719,0.57861013,0.15219794,0.32583618,0
1612940531114183168,53.37544632,64.08894348,-4.99510002,0.5951721,0.17642534,0.34539795,0
1612940531216185344,53.55648804,64.17082214,-4.99509525,0.6146739,0.20541115,0.35031128,0
1612940531315187456,53.73126602,64.25228882,-4.99510288,0.6361641,0.22755834,0.35324097,0
1612940531417189632,53.91030121,64.33834839,-4.99512672,0.66025679,0.24393855,0.35714722,0
1612940531618193920,54.25966644,64.51455688,-4.99524832,0.71151456,0.264061,0.35617065,0
1612940531720196096,54.43498993,64.60754395,-4.99535513,0.73877328,0.26984885,0.3522644,0
1612940531822198272,54.60882568,64.70307159,-4.99549246,0.76647414,0.27287003,0.34933472,0
1612940531924200448,54.78103256,64.80125427,-4.99565029,0.79437341,0.27401415,0.34539795,0
1612940532023202560,54.94650269,64.89916229,-4.99581671,0.82149476,0.27367488,0.33953857,0
1612940532125204736,55.11508179,65.00287628,-4.9960227,0.84935521,0.27232987,0.31704712,0
1612940532227206912,55.28158569,65.10953522,-4.99623919,0.87697417,0.26781231,0.26617432,0
1612940532326209024,55.44104385,65.21595764,-4.9964571,0.90311257,0.25784341,0.26126099,0
1612940532428211200,55.60301208,65.3286438,-4.99666595,0.9285081,0.24085672,0.26028442,0
1612940532527213312,55.75781631,65.44100952,-4.99686337,0.95173606,0.22900325,0.26126099,0
1612940532629215488,55.91473007,65.55986786,-4.99704218,0.97465119,0.22078826,0.33563232,0
1612940532731217664,56.06890488,65.68186951,-4.99719572,0.99695084,0.22037069,0.39334106,0
1612940532833219840,56.22027206,65.80699158,-4.99730253,1.02031937,0.24023429,0.39532471,0
1612940532932221952,56.36442566,65.93138885,-4.99737358,1.04531249,0.26309019,0.37573242,0
1612940533034224128,56.51002502,66.06256104,-4.99741793,1.07299113,0.27701083,0.36987305,0
1612940533136226304,56.65256882,66.19676971,-4.99744749,1.10158116,0.28259507,0.34933472,0
1612940533238228480,56.79196167,66.33394623,-4.99746895,1.13051294,0.28288922,0.34051514,0
1612940533337230592,56.9241066,66.46997833,-4.99750376,1.15837367,0.27942365,0.33856201,0
1612940533439232768,57.05690765,66.61303711,-4.99754047,1.18666198,0.27516019,0.3336792,0
1612940533541234944,57.18616486,66.75898743,-4.99759293,1.21456543,0.27158579,0.33074951,0
1612940533640237056,57.30812073,66.90339661,-4.99764252,1.24129699,0.26815328,0.32681274,0
1612940533742239232,57.43004227,67.05497742,-4.9976964,1.26850196,0.26486161,0.28768921,0
1612940533844241408,57.54805374,67.20933533,-4.9977479,1.29531877,0.25820762,0.23486328,0
1612940533946243584,57.66206741,67.36639404,-4.99777699,1.32103291,0.24339305,0.1321106,0
1612940534048245760,57.7720108,67.5260849,-4.99777746,1.34458631,0.21240868,0.04699707,0
1612940534147247872,57.87475204,67.68351746,-4.99777317,1.36360009,0.16808905,0.0274353,0
1612940534249250048,57.97643661,67.84815216,-4.9977479,1.37832598,0.12178378,0.0,0
1612940534348252160,58.07106018,68.01019287,-4.99768448,1.38862314,0.08597066,0.0,0
1612940534450254336,58.16441345,68.17937469,-4.99755955,1.3958465,0.05689752,0.0,0
1612940534552256512,58.25364685,68.35066223,-4.99735212,1.40063972,0.0376564,0.0,0
1612940534651258624,58.33644867,68.51881409,-4.99707508,1.40374646,0.02522721,0.0,0
